about | prep., adv. [อะเบาท์] | เกี่ยวกับ
eight | number [เอท] | แปด
eighteen | number [เอทีน] | สิบแปด
eighty | number [เอที] | แปดสิบ
elephant | n. [เอเลแฟนต์] | ช้าง
eleven | number [อีเลเวน] | สิบเอ็ด
else | adv. [เอลส์] | อื่น
email | n., v. [อีเมล] | อีเมล, ส่งอีเมล
end | n., v. [เอนด์] | จบ, ตอนจบ
enjoy | v. [เอนจอย] | เพลิดเพลิน
enough | det., pron., adv. [อินัฟ] | เพียงพอ
euro | n. [ยูโร] | ยูโร
even|adv.[อีเวน]|แม้แต่
evening|n.[อีฟนิง]|เย็น
event|n.[อีเวนท์]|เหตุการณ์
ever|adv.[เอเวอร์]|เคย
every|det.[เอเวอรี]|ทุก
everybody|pron.[เอเวอรี่บอดี้]|ทุกคน
everyone|pron.[เอเวอรีวัน]|ทุกคน
everything|pron.[เอเวอรี่ติง]|ทุกสิ่ง
exam|n.[เอ็กแซม]|การสอบ
example|n.[อิกแซมเพิล]|ตัวอย่าง
excited|adj.[อิกไซทิด]|ตื่นเต้น
exciting|adj.[อิกไซทิง]|น่าตื่นเต้น
exercise|n.,v.[เอ็กเซอร์ไซส์]|การออกกำลังกาย,ออกกำลังกาย
expensive|adj.[เอ็กสเปนซิฟ]|แพง
explain|v.[อิกสเพลน]|อธิบาย
extra|adj.[เอ็กซ์ตร้า]|เพิ่มเติม
eye|n.[อาย]|ตา
face|n.[เฟซ]|ใบหน้า
fact|n.[แฟคท์]|ความจริง
fall|v.[ฟอล]|ตก
false|adj.[ฟอลส์]|เท็จ
family|n.,adj.[แฟมิลี]|ครอบครัว
famous|adj.[เฟมัส]|มีชื่อเสียง
fantastic|adj.[แฟนแทสติก]|ยอดเยี่ยม
far|adv.[ฟาร์]|ไกล
farm|n.[ฟาร์ม]|ฟาร์ม
farmer|n.[ฟาร์เมอร์]|ชาวนา
fast|adj.,adv.[ฟาสท์]|เร็ว
fat|adj.[แฟท]|อ้วน
father|n.[ฟาเธอร์]|พ่อ
favourite|adj.,n.[เฟเวอริท]|ที่ชื่นชอบ,ของชอบ
February|n.[เฟบรูเอรี]|กุมภาพันธ์
feel|v.[ฟีล]|รู้สึก
feeling|n.[ฟีลิง]|ความรู้สึก
festival|n.[เฟสติวัล]|เทศกาล
few|det./adj.,pron.[ฟิว]|ไม่กี่
fifteen|number[ฟิฟทีน]|สิบห้า
fifth|number[ฟิฟธ์]|ที่ห้า
fifty|number[ฟิฟตี้]|ห้าสิบ
fill|v.[ฟิล]|เติม
film|n.[ฟิล์ม]|ภาพยนตร์
final|adj.[ไฟนอล]|สุดท้าย
find|v.[ไฟนด์]|หา
fine|adj.[ไฟน์]|ดี
finish|v.[ฟินิช]|เสร็จ
fire|n.[ไฟร์]|ไฟ
first|det./number,adv.[เฟิร์สท์]|แรก
fish|n.[ฟิช]|ปลา
five|number[ไฟฟ์]|ห้า
flat|n.[แฟลต]|แฟลต
flight|n.[ไฟลท์]|เที่ยวบิน
floor|n.[ฟลอร์]|พื้น
flower|n.[ฟลาวเวอร์]|ดอกไม้
fly|v.[ฟลาย]|บิน
follow|v.[ฟอลโลว์]|ติดตาม
food|n.[ฟู้ด]|อาหาร
foot|n.[ฟุต]|เท้า
football|n.[ฟุทบอลล์]|ฟุตบอล
for|prep.[ฟอร์]|สำหรับ
forget|v.[ฟอร์เก็ท]|ลืม
form|n.,v.[ฟอร์ม]|รูปแบบ,สร้าง
forty|number[ฟอร์ที้]|สี่สิบ
four|number[ฟอร์]|สี่
fourteen|number[ฟอร์ทีน]|สิบสี่
fourth|number[ฟอร์ธ]|ที่สี่
free|adj.[ฟรี]|ฟรี
Friday|n.[ฟรายเดย์]|วันศุกร์
friend|n.[เฟรนด์]|เพื่อน
friendly|adj.[เฟรนด์ลี่]|เป็นมิตร
from|prep.[ฟรอม]|จาก
front|n.,adj.[ฟรอนท์]|หน้า
fruit|n.[ฟรุต]|ผลไม้
full|adj.[ฟูล]|เต็ม
fun|n.[ฟัน]|สนุก
funny|adj.[ฟันนี่]|ตลก
future|n.[ฟิวเชอร์]|อนาคต
game|n.[เกม]|เกม
garden|n.[การ์เดน]|สวน
geography|n.[จีออกราฟี]|ภูมิศาสตร์
get|v.[เก็ท]|ได้
girl|n.[เกิร์ล]|เด็กผู้หญิง
girlfriend|n.[เกิร์ลเฟรนด์]|แฟนสาว
give|v.[กิฟ]|ให้
glass|n.[กลาส]|แก้ว
go|v.[โก]|ไป
good|adj.[กู๊ด]|ดี
goodbye|exclam./n.[กู๊ดบาย]|ลาก่อน
grandfather|n.[แกรนด์ฟาเธอร์]|ปู่
grandmother|n.[แกรนด์มาเธอร์]|ย่า
grandparent|n.[แกรนด์แพเรนต์]|ปู่ย่าตายาย
great|adj.[เกรท]|เยี่ยม
green|adj.,n.[กรีน]|สีเขียว
grey|adj.,n.[เกรย์]|สีเทา
group|n.[กรุ๊ป]|กลุ่ม
grow|v.[โกรว์]|เติบโต
guess|v.,n.[เกสส์]|เดา,การเดา
guitar|n.[กีตาร์]|กีตาร์
gym|n.[ยิม]|ยิม
hair|n.[แฮร์]|ผม
half|n.,det./pron.[ฮาล์ฟ]|ครึ่ง
hand|n.[แฮนด์]|มือ
happen|v.[แฮพเพน]|เกิดขึ้น
happy|adj.[แฮปปี้]|มีความสุข
hard|adj.,adv.[ฮาร์ด]|ยาก,หนัก
hat|n.[แฮท]|หมวก
hate|v.[เฮท]|เกลียด
have|v.[แฮฟ]|มี
have to|modal v.[แฮฟ ทู]|ต้อง
he|pron.[ฮี]|เขา
head|n.[เฮด]|หัว
health|n.[เฮลท์]|สุขภาพ
healthy|adj.[เฮลธี่]|สุขภาพดี
hear|v.[เฮียร์]|ได้ยิน
hello|exclam./n.[เฮลโล]|สวัสดี
help|v.,n.[เฮลพ์]|ช่วย,การช่วย
her|pron.,det.[เฮอร์]|เธอ
here|adv.[เฮียร์]|ที่นี่
hey|exclam.[เฮย์]|เฮ้
hi|exclam.[ไฮ]|สวัสดี
high|adj.[ไฮ]|สูง
him|pron.[ฮิม]|เขา
his|det.[ฮิส]|ของเขา
history|n.[ฮิสทรี]|ประวัติศาสตร์
hobby|n.[ฮอบบี้]|งานอดิเรก
holiday|n.[ฮอลิเดย์]|วันหยุด
home|n.,adv.[โฮม]|บ้าน
homework|n.[โฮมเวิร์ค]|การบ้าน
hope|v.[โฮพ]|หวัง
horse|n.[ฮอร์ส]|ม้า
hospital|n.[ฮอสพิทัล]|โรงพยาบาล
hot|adj.[ฮอท]|ร้อน
hotel|n.[โฮเทล]|โรงแรม
hour|n.[อาวเออร์]|ชั่วโมง
house|n.[เฮาส์]|บ้าน
how|adv.[ฮาว]|อย่างไร
however|adv.[ฮาวเอเวอร์]|อย่างไรก็ตาม
hundred|number[ฮันเดร็ด]|ร้อย
hungry|adj.[ฮังกรี]|หิว
husband|n.[ฮัสแบนด์]|สามี
ice|n.[ไอซ์]|น้ำแข็ง
ice cream|n.[ไอซ์ ครีม]|ไอศกรีม
idea|n.[ไอเดีย]|ความคิด
if|conj.[อิฟ]|ถ้า
imagine|v.[อิแมจิน]|จินตนาการ
important|adj.[อิมพอร์แทนท์]|สำคัญ
improve|v.[อิมพรูฟ]|ปรับปรุง
in|prep.,adv.[อิน]|ใน
include|v.[อินคลูด]|รวม
information|n.[อินฟอร์เมชัน]|ข้อมูล
interest|n.,v.[อินเทรสท์]|ความสนใจ,ทำให้สนใจ
interested|adj.[อินเทรสทิด]|สนใจ
interesting|adj.[อินเทรสทิง]|น่าสนใจ
internet|n.[อินเทอร์เน็ต]|อินเทอร์เน็ต
interview|n.,v.[อินเทอร์วิว]|สัมภาษณ์
into|prep.[อินทู]|เข้าไปใน
introduce|v.[อินโทรดิวซ์]|แนะนำ
island|n.[ไอซ์แลนด์]|เกาะ
it|pron.[อิท]|มัน
its|det.[อิทส์]|ของมัน
jacket|n.[แจ็คเก็ต]|แจ็คเก็ต
January|n.[แจนยัวรี]|มกราคม
jeans|n.[ยีนส์]|กางเกงยีนส์
job|n.[จ็อบ]|งาน
join|v.[จอยน์]|เข้าร่วม
journey|n.[เจอร์นีย์]|การเดินทาง
juice|n.[จูซ]|น้ำผลไม้
July|n.[จูลาย]|กรกฎาคม
June|n.[จูน]|มิถุนายน
just|adv.[จัสท์]|เพิ่งจะ
keep|v.[คีพ]|เก็บ
key|n.,adj.[คีย์]|กุญแจ
kilometre|n.[กิโลเมตร]|กิโลเมตร
kind (type)|n.[ไคนด์]|ประเภท
kitchen|n.[คิทเชน]|ห้องครัว
know|v.[โนว์]|รู้
land|n.[แลนด์]|ที่ดิน
language|n.[แลงกวิจ]|ภาษา
large|adj.[ลาร์จ]|ใหญ่
last1 (final)|det.[ลาสท์]|สุดท้าย
late|adj.,adv.[เลท]|สาย
later|adv.[เลเทอร์]|ภายหลัง
laugh|v.,n.[ลาฟ]|หัวเราะ,เสียงหัวเราะ
learn|v.[เลิร์น]|เรียน
leave|v.[ลีฟ]|ออกจาก
left|adj.,adv.,n.[เลฟท์]|ซ้าย
leg|n.[เลก]|ขา
lesson|n.[เลสซัน]|บทเรียน
let|v.[เล็ท]|ให้
letter|n.[เลตเทอร์]|จดหมาย
library|n.[ไลบรารี]|ห้องสมุด
lie1|v.[ไล]|นอนลง
life|n.[ไลฟ์]|ชีวิต
light (from the sun/a lamp)|n.,adj.[ไลท์]|แสง,เบา
like (similar)|prep.[ไลค์]|เหมือน
like (find sb/sth pleasant)|v.[ไลค์]|ชอบ
line|n.[ไลน์]|เส้น
lion|n.[ไลออน]|สิงโต
list|n.,v.[ลิสท์]|รายการ,จัดรายการ
listen|v.[ลิสเซิน]|ฟัง
little|adj.,det./pron.[ลิทเทิล]|น้อย
live1|v.[ไลฟ์]|อาศัยอยู่
local|adj.[โลเคิล]|ท้องถิ่น
long1|adj.,adv.[ลอง]|ยาว
look|v.[ลุค]|มอง
lose|v.[ลูซ]|แพ้
lot|pron.,det.,adv.[ลอต]|มาก
love|n.,v.[เลิฟ]|รัก
lunch|n.[ลันช์]|อาหารกลางวัน
machine|n.[แมชชีน]|เครื่องจักร
magazine|n.[แม็กกาซีน]|นิตยสาร
main|adj.[เมน]|หลัก
make|v.[เมค]|ทำ
man|n.[แมน]|ผู้ชาย
many|det./pron.[เมนี]|หลาย
map|n.[แมพ]|แผนที่
March|n.[มาร์ช]|มีนาคม
market|n.[มาร์เก็ต]|ตลาด
married|adj.[แมร์รีด]|แต่งงาน
match (contest/correspond)|n.,v.[แมทช์]|การแข่ง,เข้ากัน
May|n.[เมย์]|พฤษภาคม
maybe|adv.[เมย์บี]|อาจจะ
me|pron.[มี]|ฉัน
meal|n.[มีล]|มื้ออาหาร
mean|v.[มีน]|หมายถึง
meaning|n.[มีนนิง]|ความหมาย
meat|n.[มีท]|เนื้อ
meet|v.[มีท]|พบ
meeting|n.[มีททิง]|การประชุม
member|n.[เมมเบอร์]|สมาชิก
menu|n.[เมนู]|เมนู
message|n.[เมสเซจ]|ข้อความ
metre|n.[มีเทอร์]|เมตร
midnight|n.[มิดไนท์]|เที่ยงคืน
mile|n.[ไมล์]|ไมล์
milk|n.[มิลค์]|นม
million|number[มิลเลียน]|ล้าน
minute1|n.[มินิท]|นาที
miss|v.[มิส]|คิดถึง
mistake|n.[มิสเทค]|ความผิดพลาด
model|n.[โมเดล]|แบบจำลอง
modern|adj.[โมเดิร์น]|ทันสมัย
moment|n.[โมเมนต์]|ช่วงเวลา
Monday|n.[มันเดย์]|วันจันทร์
money|n.[มันนี]|เงิน
month|n.[มันท์]|เดือน
more|det./pron.,adv.[มอร์]|มากกว่า
morning|n.[มอร์นิง]|ตอนเช้า
most|det./pron.,adv.[โมสต์]|ส่วนมาก
mother|n.[มาเธอร์]|แม่
mountain|n.[เมาเทน]|ภูเขา
mouse|n.[เมาส์]|หนู
mouth|n.[เมาธ์]|ปาก
move|v.[มูฟ]|ย้าย
movie|n.[มูวี]|ภาพยนตร์
much|det./pron.,adv.[มัช]|มาก
mum|n.[มัม]|แม่
museum|n.[มิวเซียม]|พิพิธภัณฑ์
music|n.[มิวสิก]|ดนตรี
must|modal v.[มัสท์]|ต้อง
my|det.[มาย]|ของฉัน
name|n.,v.[เนม]|ชื่อ,ตั้งชื่อ
natural|adj.[แนเชอรัล]|ธรรมชาติ
near|prep.,adj.,adv.[เนียร์]|ใกล้
need|v.[นีด]|ต้องการ
negative|adj.[เนกาทีฟ]|เชิงลบ
neighbour|n.[เนเบอร์]|เพื่อนบ้าน
never|adv.[เนเวอร์]|ไม่เคย
new|adj.[นิว]|ใหม่
news|n.[นิวส์]|ข่าว
newspaper|n.[นิวส์เปเปอร์]|หนังสือพิมพ์
next|adj.,adv.[เน็กซ์ท]|ต่อไป
next to|prep.[เน็กซ์ท ทู]|ถัดจาก
nice|adj.[ไนซ์]|ดี
night|n.[ไนท์]|กลางคืน
nine|number[ไนน์]|เก้า
nineteen|number[ไนน์ทีน]|สิบเก้า
ninety|number[ไนน์ตี้]|เก้าสิบ
no|exclam.,det.[โน]|ไม่
no one|pron.[โน วัน]|ไม่มีใคร
nobody|pron.[โนบอดี้]|ไม่มีใคร
north|n.,adj.,adv.[นอร์ธ]|ทิศเหนือ
nose|n.[โนส]|จมูก
not|adv.[น็อท]|ไม่
note|n.[โนท]|บันทึก
nothing|pron.[น็อทธิง]|ไม่มีอะไร
November|n.[โนเวมเบอร์]|พฤศจิกายน
now|adv.[นาว]|ตอนนี้
number|n.[นัมเบอร์]|ตัวเลข
nurse|n.[เนิร์ส]|พยาบาล
object|n.[ออบเจคท์]|วัตถุ
o’clock|adv.[โอคล็อค]|นาฬิกา
October|n.[ออคโทเบอร์]|ตุลาคม
of|prep.[ออฟ]|ของ
off|adv.,prep.[ออฟ]|ปิด
office|n.[ออฟฟิศ]|สำนักงาน
often|adv.[ออฟเทน]|บ่อยครั้ง
oh|exclam.[โอ]|โอ้
OK|exclam.,adj./adv.[โอเค]|ตกลง
old|adj.[โอลด์]|เก่า
on|prep.,adv.[ออน]|บน
once|adv.[วันซ์]|ครั้งหนึ่ง
one|number/det.,pron.[วัน]|หนึ่ง
onion|n.[อันยอน]|หัวหอม
online|adj.,adv.[ออนไลน์]|ออนไลน์
only|adj.,adv.[โอนลี่]|เท่านั้น
open|adj.,v.[โอเพน]|เปิด
opinion|n.[โอะพิเนียน]|ความคิดเห็น
opposite|adj.,n.,prep.,adv.[ออปพะซิท]|ตรงข้าม
or|conj.[ออ]|หรือ
orange|n.,adj.[ออเรนจ์]|ส้ม
order|n.,v.[ออเดอร์]|คำสั่ง,สั่ง
other|adj./pron.[ออเทอร์]|อื่น
our|det.[เอาร์]|ของเรา
out|adv./prep.[เอาท์]|ออก
outside|adv.[เอาท์ไซด์]|ข้างนอก
over|prep.,adv.[โอเวอร์]|เกิน
own|adj./pron.[โอน]|ของตนเอง
page|n.[เพจ]|หน้า
paint|v.,n.[เพนท์]|ทาสี,สี
painting|n.[เพนทิง]|ภาพวาด
pair|n.[แพร์]|คู่
paper|n.[เพเพอร์]|กระดาษ
paragraph|n.[แพรากราฟ]|ย่อหน้า
parent|n.[พาเรนท์]|ผู้ปกครอง
park|n.,v.[พาร์ค]|สวนสาธารณะ,จอด
part|n.[พาร์ท]|ส่วน
partner|n.[พาร์ทเนอร์]|หุ้นส่วน
party|n.[พาร์ที้]|งานเลี้ยง
passport|n.[พาสปอร์ต]|หนังสือเดินทาง
past|adj.,n.,prep.[พาสท์]|อดีต
pay|v.[เพย์]|จ่าย
pen|n.[เพน]|ปากกา
pencil|n.[เพนซิล]|ดินสอ
people|n.[พีเพิล]|คน
pepper|n.[เพพเพอร์]|พริกไทย
perfect|adj.[เพอร์เฟคท์]|สมบูรณ์แบบ
period|n.[พีเรียด]|ช่วงเวลา
person|n.[เพอร์ซัน]|บุคคล
personal|adj.[เพอร์ซันนัล]|ส่วนบุคคล
phone|n.,v.[โฟน]|โทรศัพท์,โทร
photo|n.[โฟโท]|รูปถ่าย
photograph|n.[โฟโทกราฟ]|ภาพถ่าย
phrase|n.[เฟรซ]|วลี
piano|n.[เปียโน]|เปียโน
picture|n.[พิคเจอร์]|ภาพ
piece|n.[พีซ]|ชิ้น
pig|n.[พิก]|หมู
pink|adj.,n.[พิงค์]|สีชมพู
place|n.[เพลซ]|สถานที่
plan|n.,v.[แพลน]|แผน,วางแผน
plane|n.[เพลน]|เครื่องบิน
plant|n.[แพลนท์]|พืช
play|v.,n.[เพลย์]|เล่น,การเล่น
player|n.[เพลเยอร์]|ผู้เล่น
please|exclam.[พลีซ]|โปรด
point|n.[พอยน์ท]|จุด
police|n.[โพลิซ]|ตำรวจ
policeman|n.[โพลิซแมน]|ตำรวจชาย
pool|n.[พูล]|สระน้ำ
poor|adj.[พัวร์]|จน
popular|adj.[พอพพิวลาร์]|เป็นที่นิยม
positive|adj.[พอซิทีฟ]|บวก
possible|adj.[พอซิเบิล]|เป็นไปได้
post|n.,v.[โพสต์]|โพสต์
potato|n.[โพเทโท]|มันฝรั่ง
pound|n.[พาวน์ด]|ปอนด์
practice|n.[แพรกทิซ]|การฝึกฝน
practise|v.[แพรกทิซ]|ฝึกฝน
prefer|v.[พรีเฟอร์]|ชอบมากกว่า
prepare|v.[พรีแพร์]|เตรียม
present|adj.,n.[เพรซเซนท์]|ปัจจุบัน,ของขวัญ
pretty|adj.,adv.[เพรทที้]|น่ารัก,ค่อนข้าง
